"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"80+","male","high","mid","mid","low","mid","low",0.164725882338029
"65-69","female","low","low","high","low","high","high",0.164572572890855
"70-79","male","high","low","high","mid","high","mid",0.164444361592616
"65-69","male","low","high","high","high","high","high",0.164376998109877
"80+","female","low","high","mid","mid","low","mid",0.164319727826966
"65-69","male","low","high","mid","low","high","high",0.164297038668391
"80+","female","high","low","high","high","low","high",0.16427985291819
"80+","male","mid","mid","mid","mid","high","high",0.164212227334634
"70-79","female","mid","mid","mid","low","low","low",0.164153412488129
"80+","male","mid","mid","mid","low","mid","high",0.164091951751196
"65-69","female","low","mid","high","high","high","low",0.164079411399393
"65-69","female","low","mid","mid","low","high","low",0.163999568305578
"70-79","male","high","mid","high","low","high","high",0.163955333394341
"80+","male","high","high","low","mid","high","mid",0.16386111282848
"80+","male","high","low","high","mid","mid","high",0.163860720166857
"65-69","male","high","low","mid","high","high","mid",0.163803540214879
"70-79","female","high","low","low","mid","mid","high",0.163749242626632
"65-69","male","mid","low","high","high","low","low",0.163741142502818
"80+","female","mid","mid","mid","mid","low","mid",0.163686601081808
"80+","male","high","high","high","low","mid","mid",0.163640388882793
"70-79","female","low","low","low","low","low","high",0.16340054243663
"80+","female","high","low","mid","high","mid","mid",0.163294230846628
"80+","male","high","mid","low","low","high","mid",0.163246046653531
"80+","female","mid","high","low","low","low","mid",0.163183601384165
"65-69","male","low","mid","mid","mid","mid","mid",0.163108813486916
"65-69","female","mid","high","low","high","mid","low",0.163064663454346
"80+","female","high","mid","high","mid","low","low",0.163048602484241
"80+","female","high","mid","mid","high","high","low",0.163006893336476
"70-79","female","high","mid","high","low","low","low",0.16289209176231
"65-69","female","high","low","high","high","mid","low",0.162876723596592
"65-69","male","mid","high","low","mid","mid","mid",0.162843386740362
"65-69","male","mid","low","mid","low","low","high",0.162813803713038
"65-69","male","mid","high","low","low","high","mid",0.162505379545878
"80+","female","high","mid","low","high","mid","high",0.162461343271793
"65-69","female","mid","low","low","high","high","high",0.162302849929545
"80+","female","mid","high","high","high","low","low",0.162138340761985
"65-69","male","high","low","high","mid","low","low",0.161883248743567
"80+","female","high","high","mid","low","low","low",0.161843307805364
"70-79","male","high","low","mid","low","low","mid",0.161736536063187
"80+","female","low","mid","mid","mid","low","high",0.161693602553156
"70-79","female","low","high","mid","mid","mid","low",0.161575510652535
"80+","female","low","high","mid","high","high","mid",0.161477750184376
"70-79","male","mid","high","mid","low","low","low",0.161392582240243
"70-79","female","high","low","low","high","low","high",0.161301429055071
"70-79","male","low","mid","high","high","low","mid",0.161227955411883
"70-79","male","low","mid","mid","low","low","mid",0.161149232378761
"80+","male","mid","high","high","high","high","low",0.161132999889349
"65-69","male","mid","mid","mid","low","low","low",0.160871448087727
"80+","male","high","high","mid","low","high","low",0.160839445117582
"80+","female","mid","mid","low","low","low","high",0.160572144606361
"70-79","female","low","mid","high","mid","mid","low",0.160499058516971
"70-79","male","high","high","low","low","mid","low",0.160338895152635
"65-69","male","low","low","high","mid","low","high",0.16030408946219
"70-79","female","high","low","high","high","mid","mid",0.160302686618933
"70-79","female","mid","mid","low","mid","high","mid",0.16028885446837
"65-69","male","mid","high","mid","high","high","low",0.160249963527579
"80+","male","mid","high","mid","low","high","high",0.160217602201723
"70-79","female","mid","high","high","low","high","low",0.160158076394948
"70-79","male","high","high","high","low","low","low",0.160148410620809
"70-79","female","low","low","high","mid","high","mid",0.159899873591378
"70-79","male","low","mid","low","low","low","high",0.159639356343432
"70-79","male","high","mid","low","mid","mid","mid",0.159541909615986
"80+","female","low","high","mid","mid","mid","mid",0.159304193767065
"80+","male","high","low","mid","mid","low","high",0.159194252691453
"70-79","male","high","high","high","high","high","low",0.158969137877032
"80+","female","high","high","low","high","high","high",0.158618188168781
"80+","male","mid","mid","high","low","low","high",0.158564786275204
"65-69","male","low","mid","high","mid","low","low",0.158386010092156
"80+","male","low","mid","mid","high","mid","high",0.158307586258533
"70-79","female","mid","high","mid","mid","high","low",0.158254175911548
"80+","female","low","mid","high","mid","mid","mid",0.158240017710484
"80+","female","mid","high","low","low","mid","mid",0.158196180706459
"80+","female","high","low","mid","mid","high","mid",0.158111618771371
"80+","male","high","mid","low","mid","high","high",0.158097475725254
"70-79","male","low","mid","high","high","mid","high",0.157985065745902
"70-79","male","low","mid","mid","low","mid","high",0.157907628030028
"80+","male","high","high","high","high","low","low",0.157903270438517
"65-69","male","high","low","high","high","low","mid",0.15768498918313
"80+","female","high","mid","low","mid","low","mid",0.157587731727804
"70-79","male","high","mid","low","high","low","high",0.157579459767093
"65-69","male","mid","high","low","mid","high","high",0.157375774842944
"65-69","female","low","mid","low","low","mid","low",0.157353673073654
"80+","male","low","high","mid","mid","low","high",0.157287403885412
"80+","male","high","mid","mid","mid","low","low",0.157286965366609
"70-79","male","mid","mid","low","low","low","mid",0.15727589181245
"65-69","female","mid","low","mid","high","mid","low",0.157225631493537
"80+","female","mid","high","high","high","mid","low",0.157176866210578
"65-69","female","mid","mid","low","mid","high","low",0.157088480326774
"70-79","male","mid","low","mid","high","low","high",0.156965122497203
"80+","female","high","high","mid","low","mid","low",0.156889170833536
"70-79","male","high","low","mid","high","high","mid",0.156859342926874
"65-69","male","mid","mid","low","low","high","high",0.156780487429143
"70-79","male","mid","high","mid","low","mid","mid",0.156758208596529
"80+","male","mid","mid","mid","mid","low","high",0.156676292814503
"70-79","male","high","mid","mid","low","mid","low",0.156584974040938
"80+","female","mid","low","high","mid","mid","mid",0.156440576542051
"80+","male","high","low","mid","high","mid","high",0.156297586332132
"70-79","female","mid","low","high","low","mid","high",0.15622093105194
"80+","male","mid","high","low","low","low","high",0.156190812138623
"80+","female","high","low","high","high","high","high",0.156177052764022
"80+","female","mid","mid","high","mid","high","low",0.156163048067426
"65-69","female","low","mid","low","high","mid","mid",0.156020461306699
"70-79","female","mid","low","low","mid","low","high",0.155901333228724
"70-79","male","high","low","high","mid","mid","high",0.155754596024608
"80+","male","high","mid","low","low","low","mid",0.155746189051513
"70-79","female","low","mid","low","mid","high","high",0.155728642989164
"70-79","male","high","high","high","low","mid","mid",0.155543136819831
"80+","female","high","mid","mid","high","low","low",0.155515980888599
"70-79","male","low","high","mid","mid","high","mid",0.155337893797035
"70-79","female","low","high","mid","high","high","low",0.155326691053222
"70-79","male","low","high","low","low","low","mid",0.155294053504307
"65-69","male","high","mid","mid","mid","high","low",0.15519764809908
"65-69","male","high","mid","high","high","mid","low",0.155108830935759
"70-79","male","mid","mid","mid","high","low","low",0.155079616241843
"70-79","female","mid","low","high","mid","high","low",0.154966676977639
"65-69","male","mid","mid","high","low","high","mid",0.154827036191319
"80+","female","mid","mid","mid","low","high","high",0.154573660165656
"80+","male","low","high","mid","high","high","high",0.154544560400131
"65-69","male","high","high","low","high","mid","high",0.154491083516251
"80+","female","low","high","high","mid","high","mid",0.154478303202375
"65-69","female","high","high","low","high","high","low",0.15447101985691
"70-79","female","mid","low","mid","low","low","mid",0.154464026870546
"70-79","male","mid","mid","mid","high","high","mid",0.154462421477816
"65-69","male","high","low","mid","high","low","low",0.154394533306791
"80+","female","high","mid","high","low","mid","mid",0.154376258613747
"70-79","female","mid","low","mid","mid","mid","high",0.154355231884616
"70-79","female","low","high","low","mid","mid","mid",0.154329644139167
"65-69","male","low","mid","high","high","low","mid",0.154261754012558
"65-69","male","high","high","low","mid","high","mid",0.154259255233466
"80+","male","mid","high","high","low","low","mid",0.154243364159151
"65-69","female","low","mid","low","high","high","high",0.154195146109384
"65-69","male","low","mid","mid","low","low","mid",0.154185807121682
"70-79","male","mid","mid","low","low","mid","high",0.154097888854121
"70-79","female","mid","high","low","high","high","high",0.153905434694957
"65-69","male","high","mid","low","low","high","mid",0.153673606394787
"70-79","female","high","high","low","mid","mid","low",0.153633230008967
"65-69","male","low","high","mid","high","high","mid",0.153585423448274
"65-69","male","low","mid","high","high","mid","high",0.153583645820232
"65-69","male","low","mid","mid","low","mid","high",0.153507972182611
"80+","female","high","low","high","mid","low","mid",0.153412460549272
"80+","male","mid","mid","mid","high","mid","mid",0.153391253298739
"70-79","female","mid","low","mid","low","high","high",0.153387252096768
"70-79","male","high","high","low","high","low","mid",0.153279999344851
"65-69","female","high","low","high","low","low","low",0.153267324310685
"70-79","female","high","low","high","low","low","mid",0.153263505756054
"80+","male","high","high","high","high","mid","low",0.153047717831781
"65-69","female","low","mid","low","mid","low","low",0.153030774298448
"65-69","male","mid","mid","mid","mid","high","mid",0.152974965853959
"65-69","male","low","mid","low","low","low","high",0.152729295565356
"70-79","female","low","mid","high","low","high","high",0.152575872365976
"65-69","male","high","low","mid","mid","mid","high",0.152531427722741
"70-79","male","mid","low","high","high","high","high",0.152523597047767
"80+","male","low","high","mid","mid","mid","high",0.152447360875908
"80+","male","mid","high","mid","mid","low","mid",0.152397016861565
"70-79","male","mid","mid","low","mid","low","high",0.152281344715658
"70-79","female","high","low","high","low","high","high",0.152193593492113
"65-69","male","mid","low","mid","high","low","mid",0.152181281034797
"70-79","male","mid","mid","high","low","mid","mid",0.152171830239333
"65-69","female","high","low","high","high","high","low",0.152082172867169
"80+","male","high","mid","high","mid","high","low",0.152055728360465
"65-69","male","mid","mid","low","low","mid","mid",0.151812594829743
"70-79","female","high","mid","high","high","high","low",0.151730789867614
"70-79","female","low","low","mid","high","mid","high",0.151486891959265
"80+","male","low","mid","high","mid","mid","high",0.151420739452799
"65-69","male","high","high","mid","low","high","low",0.151382592755569
"80+","male","mid","high","low","low","mid","high",0.151378451849816
"80+","male","high","low","mid","mid","high","high",0.151296879258075
"80+","female","mid","high","low","mid","low","high",0.151239498275551
"70-79","female","low","high","high","low","mid","mid",0.151200124270502
"80+","female","mid","mid","mid","high","high","mid",0.150930354105507
"70-79","male","mid","low","high","mid","low","low",0.150919742833774
"80+","male","high","mid","low","mid","low","high",0.150791527852225
"65-69","female","low","low","mid","mid","low","low",0.150727784961041
"80+","female","high","high","high","low","high","mid",0.150689951395779
"80+","female","high","mid","mid","mid","mid","low",0.150472432957705
"70-79","male","low","high","low","mid","low","high",0.150351214297256
"70-79","male","mid","mid","mid","mid","mid","mid",0.150345871895922
"70-79","female","mid","mid","mid","high","mid","low",0.150334965092747
"80+","female","mid","low","high","high","low","high",0.15007443619878
"65-69","female","low","mid","high","low","low","low",0.149922923710521
"65-69","female","low","low","high","high","mid","mid",0.14990481032317
"80+","female","mid","high","mid","low","low","mid",0.149837541642799
"65-69","female","low","low","mid","low","mid","mid",0.149830628450952
"70-79","male","low","mid","mid","mid","high","high",0.149820334074172
"80+","female","high","low","mid","low","low","high",0.14979743048723
"70-79","female","mid","low","mid","high","high","mid",0.149766955957771
"80+","male","mid","high","mid","high","high","mid",0.149724302227611
"80+","male","mid","low","high","mid","mid","high",0.149685054801118
"65-69","male","mid","mid","mid","high","mid","low",0.149679060850492
"70-79","male","high","low","low","low","low","high",0.149487592659224
"80+","male","mid","high","high","low","mid","mid",0.149480376863169
"70-79","female","high","low","mid","mid","low","low",0.149382848229986
"65-69","male","mid","high","mid","low","high","mid",0.149204898434822
"80+","female","low","mid","mid","high","high","high",0.149064988129686
"80+","female","mid","mid","high","mid","low","low",0.148930679876007
"70-79","female","low","mid","mid","mid","low","low",0.148832439034269
"65-69","male","high","mid","low","mid","high","high",0.148773260266711
"70-79","male","high","mid","mid","mid","high","low",0.148553470225985
"70-79","female","low","high","high","mid","high","low",0.148546635719575
"65-69","male","low","high","low","low","low","mid",0.148538835339281
"70-79","male","high","low","mid","high","mid","high",0.148499158833461
"65-69","female","high","low","mid","low","mid","low",0.148496017835599
"65-69","male","low","mid","mid","high","high","high",0.148119195369506
"70-79","male","mid","high","low","mid","low","mid",0.148101026642022
"80+","male","high","mid","high","high","high","mid",0.148067308190605
"80+","female","low","high","high","high","low","high",0.148056754428998
"80+","female","low","high","mid","low","low","high",0.147983327885633
"65-69","female","mid","mid","low","high","low","low",0.14781949405484
"80+","male","low","high","high","mid","high","high",0.147792671773836
"80+","male","high","mid","high","low","mid","high",0.14769427210685
"80+","male","mid","high","mid","mid","mid","mid",0.147681088635641
"70-79","male","high","mid","low","low","low","low",0.147676174139481
"70-79","male","high","high","low","mid","high","mid",0.147648229724028
"65-69","male","mid","mid","low","mid","low","mid",0.147615256067471
"70-79","male","low","mid","mid","high","mid","mid",0.147539037980218
"80+","female","mid","mid","mid","low","low","high",0.147402043074219
"70-79","male","low","high","high","low","low","high",0.14728831862989
"70-79","male","high","mid","low","low","high","mid",0.147083314829159
"65-69","male","mid","mid","low","mid","mid","high",0.146961287816242
"70-79","male","mid","low","high","high","low","mid",0.146955955498183
"65-69","male","low","high","high","mid","high","mid",0.146868159211157
"80+","female","high","high","mid","mid","high","low",0.14686315445644
"80+","male","high","low","high","mid","low","high",0.146764950560408
"65-69","female","mid","low","mid","high","high","low",0.146739952953983
"80+","male","high","high","low","mid","low","mid",0.14664503241036
"80+","female","mid","high","low","mid","mid","high",0.146553196190194
"70-79","female","mid","high","high","low","mid","low",0.146488528974795
"70-79","male","low","high","mid","mid","low","low",0.146284189150651
"80+","female","high","low","mid","high","low","mid",0.146247226219057
"70-79","male","low","high","high","high","high","high",0.146187259529562
"70-79","male","low","high","mid","low","high","high",0.146114601121559
"70-79","female","high","low","mid","low","mid","mid",0.146109581013646
"65-69","male","mid","high","high","low","mid","low",0.145846525919996
"80+","female","high","low","high","mid","high","mid",0.145752191924616
"70-79","male","high","high","high","high","mid","low",0.145383500392669
"80+","female","mid","high","mid","low","mid","mid",0.145187249613019
"80+","male","high","mid","high","mid","low","low",0.144980899845911
"80+","male","high","mid","mid","high","high","low",0.144943012149079
"70-79","male","high","high","mid","low","high","low",0.144873732890084
"70-79","female","low","low","high","mid","mid","high",0.144845703272294
"65-69","male","high","high","low","low","mid","low",0.144748540954576
"70-79","female","mid","high","mid","mid","mid","low",0.144719125776546
"65-69","male","mid","mid","high","high","high","low",0.144706158289352
"80+","female","low","high","mid","high","low","mid",0.144468812200261
"80+","male","mid","mid","mid","high","high","high",0.144372054888097
"70-79","male","mid","mid","mid","low","low","mid",0.144329663532497
"65-69","female","high","mid","low","high","mid","low",0.144215858224003
"80+","male","mid","high","high","high","low","low",0.144154132660409
"80+","male","high","high","high","low","high","high",0.144140324916926
"65-69","male","mid","high","mid","mid","mid","low",0.144083568259971
"65-69","male","high","mid","low","mid","mid","mid",0.144015757835802
"80+","female","mid","mid","mid","high","low","mid",0.143899000970506
"80+","male","high","high","mid","low","low","low",0.143886204610635
"65-69","female","low","low","low","mid","low","mid",0.143884901272186
"65-69","male","mid","mid","mid","low","high","high",0.143868076785446
"70-79","female","low","mid","low","low","mid","mid",0.143776515381864
"65-69","male","low","high","low","mid","low","high",0.143774411017249
"65-69","male","high","low","mid","low","low","mid",0.143683993974068
"80+","female","low","high","high","high","mid","high",0.143452404511901
"65-69","female","mid","low","low","mid","mid","mid",0.143414202329773
"80+","female","low","high","mid","low","mid","high",0.14338087712436
"65-69","male","low","mid","mid","high","mid","mid",0.143379085739258
"80+","male","mid","high","mid","low","low","high",0.143318712543076
"70-79","male","high","mid","high","low","low","mid",0.143194569131103
"70-79","female","high","mid","low","low","mid","low",0.143119663049179
"65-69","male","high","mid","high","mid","high","low",0.143027305808724
"70-79","female","high","low","low","low","high","mid",0.142574340921466
"80+","female","mid","low","high","high","high","high",0.142552777743851
"70-79","male","mid","high","low","low","high","high",0.142541223677712
"80+","female","low","mid","high","mid","high","high",0.142512142901182
"70-79","male","high","mid","low","mid","high","high",0.142357771152714
"65-69","male","high","low","mid","mid","high","high",0.142305952224713
"80+","female","high","low","mid","low","high","high",0.142287331185228
"65-69","male","high","high","high","low","low","low",0.142243051131895
"70-79","male","mid","mid","high","high","mid","low",0.142195318534617
"65-69","male","mid","low","high","high","mid","high",0.142189840399093
"80+","female","low","mid","mid","high","low","high",0.142105991926253
"80+","male","high","high","low","mid","mid","mid",0.142077263443732
"70-79","female","low","mid","low","mid","low","mid",0.142061208682697
"70-79","male","low","high","mid","mid","mid","mid",0.142010185644912
"70-79","female","low","high","mid","high","mid","low",0.141999782488832
"65-69","female","low","low","low","low","mid","high",0.141955212244929
"70-79","female","high","mid","low","high","mid","mid",0.1418867448852
"80+","female","high","high","low","high","low","high",0.141859498997985
"65-69","male","low","mid","high","mid","high","high",0.141601008231554
"70-79","female","high","mid","low","mid","low","low",0.141410898592418
"70-79","male","mid","mid","mid","low","mid","high",0.141369375255029
"65-69","male","high","mid","mid","low","mid","low",0.141298204180016
"80+","male","high","mid","high","high","low","mid",0.141147162285399
"70-79","male","low","mid","high","mid","mid","mid",0.141042154467325
"65-69","female","low","low","high","low","low","mid",0.140931884766274
"80+","female","mid","mid","high","low","mid","mid",0.140882849716399
"65-69","male","low","high","high","low","low","high",0.140823289147065
"70-79","male","mid","high","high","low","high","mid",0.140735579046721
"70-79","female","mid","high","low","high","mid","high",0.1406801592862
"65-69","male","high","low","high","mid","mid","high",0.140535384837542
"65-69","male","high","high","high","low","mid","mid",0.140341153152269
"70-79","male","high","mid","high","low","mid","high",0.140253746235066
"65-69","female","mid","low","low","low","low","low",0.14014543398662
"80+","female","mid","low","high","mid","low","mid",0.139989347519134
"80+","female","low","high","mid","high","mid","mid",0.139957711682653
"65-69","male","high","mid","low","high","low","high",0.139913472253869
"70-79","female","low","low","mid","mid","low","mid",0.139896035244114
"80+","male","high","low","mid","high","low","high",0.139858901060559
"65-69","male","low","high","mid","mid","low","low",0.139856005750464
"65-69","female","low","low","high","high","high","mid",0.139826366572906
"65-69","female","low","low","mid","low","high","mid",0.13975635218236
"80+","male","mid","high","high","high","mid","low",0.139651254214349
"80+","male","high","high","mid","low","mid","low",0.139390332242981
"80+","male","high","low","high","mid","high","high",0.139381960418264
"65-69","male","mid","mid","mid","low","mid","mid",0.139241774694556
"65-69","male","high","mid","high","high","high","mid",0.139236814755609
"80+","female","mid","mid","mid","mid","mid","mid",0.139170115820498
"70-79","female","low","mid","high","low","low","mid",0.139139537624743
"70-79","male","mid","high","mid","mid","high","mid",0.139024345817048
"70-79","female","mid","high","mid","high","high","low",0.139014125953259
"80+","female","high","mid","high","low","high","high",0.138969011961621
"70-79","male","high","high","low","mid","low","low",0.138968971046832
"65-69","female","mid","low","low","high","low","mid",0.138933983308022
"70-79","female","low","low","mid","mid","high","high",0.138904131274499
"80+","female","high","low","mid","high","high","mid",0.138886040785124
"80+","male","mid","high","mid","low","mid","high",0.138837696434899
"65-69","male","mid","high","low","high","low","high",0.138826678395658
"80+","male","mid","mid","high","mid","high","low",0.138731871973209
"80+","female","high","mid","high","mid","mid","low",0.138611836883817
"65-69","female","high","low","mid","low","high","low",0.138496859316331
"70-79","female","high","mid","mid","low","high","low",0.138171750022903
"80+","male","low","high","mid","high","low","high",0.138145601106307
"80+","male","high","mid","mid","high","low","low",0.138145207206537
"80+","female","low","high","high","mid","low","mid",0.138085226269555
"65-69","male","low","high","mid","mid","mid","mid",0.137980890201257
"80+","male","mid","mid","mid","high","low","high",0.137596718638653
"70-79","female","high","low","high","mid","low","low",0.137594225625215
"80+","female","mid","high","high","low","high","mid",0.13746636943918
"80+","female","low","mid","mid","mid","mid","high",0.137426570938269
"80+","female","high","high","low","high","mid","high",0.137416788448748
"65-69","male","low","mid","high","mid","mid","mid",0.137035938412892
"70-79","female","mid","mid","low","mid","mid","mid",0.137030424312929
"70-79","male","high","mid","high","mid","high","low",0.136819770798961
"80+","female","mid","mid","low","low","mid","high",0.136446027189112
"70-79","male","low","high","mid","high","high","mid",0.13639494530301
"65-69","male","high","mid","mid","high","high","low",0.136269042968497
"70-79","male","high","low","mid","mid","high","high",0.136124751715891
"70-79","female","low","high","high","high","low","low",0.136104166053164
"70-79","male","mid","low","high","mid","high","mid",0.136071742208385
"70-79","female","low","high","mid","low","low","low",0.136035720699547
"65-69","male","high","high","low","high","low","mid",0.136018192422017
"80+","female","low","mid","high","mid","low","high",0.135810237352843
"80+","female","mid","high","mid","mid","high","mid",0.135788605403646
"70-79","female","low","high","high","mid","mid","low",0.135707988998486
"70-79","male","mid","mid","high","low","high","high",0.135653390725986
"80+","female","high","low","mid","mid","mid","high",0.135638968608648
"70-79","female","mid","low","mid","high","mid","high",0.135512890554209
"65-69","male","high","high","high","low","high","high",0.13550677915041
"70-79","male","high","low","high","high","low","high",0.135381147986766
"65-69","female","high","mid","high","low","high","low",0.135252999056961
"80+","female","high","high","high","mid","high","low",0.135241760220177
"80+","male","mid","mid","high","high","high","mid",0.135037280104564
"70-79","male","high","high","low","mid","mid","mid",0.134874930948287
"80+","male","high","mid","mid","low","high","mid",0.13478362827412
"70-79","female","mid","mid","high","low","low","low",0.134744105362806
"80+","male","mid","mid","high","low","mid","high",0.134691881391419
"80+","female","high","high","high","low","low","mid",0.134634876249618
"65-69","male","mid","mid","mid","high","high","mid",0.134274361818484
"80+","female","low","high","mid","mid","high","high",0.134080826080199
"70-79","male","mid","mid","mid","mid","high","high",0.133994316465657
"65-69","male","high","low","mid","high","mid","high",0.133876474655701
"80+","female","high","mid","low","mid","mid","mid",0.133838530472055
"80+","male","mid","low","high","mid","low","high",0.133831526845278
"80+","male","low","high","mid","high","mid","high",0.133801066094431
"80+","male","mid","high","mid","high","low","mid",0.133755908030409
"80+","female","low","high","high","mid","mid","mid",0.133742295339653
"70-79","male","high","mid","high","high","low","low",0.133713790899946
"65-69","female","mid","low","low","mid","high","mid",0.133703503147147
"65-69","male","mid","low","high","low","low","high",0.133606134471589
"80+","male","high","mid","mid","mid","mid","low",0.13357590380197
"70-79","male","low","high","high","high","mid","high",0.133520552663848
"70-79","male","low","high","mid","low","mid","high",0.133453205872833
"65-69","male","low","high","mid","mid","high","high",0.133215221678821
"70-79","male","high","mid","high","high","high","mid",0.133168227000566
"80+","female","mid","high","low","low","high","high",0.133120470191719
"70-79","female","mid","mid","mid","mid","low","low",0.133094439477217
"80+","male","mid","mid","mid","mid","mid","high",0.13304275657036
"70-79","female","low","mid","low","mid","mid","high",0.133027087464357
"65-69","female","low","high","low","low","mid","low",0.132971492837669
"65-69","female","low","mid","mid","mid","high","low",0.132965073174718
"80+","female","mid","low","high","mid","high","mid",0.132894115305012
"70-79","female","low","high","low","low","high","mid",0.132872320736182
"65-69","female","high","low","low","mid","low","low",0.132853947324873
"70-79","female","high","low","low","mid","low","mid",0.132850557560069
"80+","male","high","low","mid","high","high","high",0.132769259707203
"70-79","female","mid","high","low","low","low","low",0.132670534590278
"65-69","male","high","low","low","low","low","high",0.132585995568743
"65-69","male","mid","low","high","high","high","high",0.132549215359754
"70-79","female","mid","low","high","high","mid","mid",0.13253131217871
"80+","female","high","mid","high","low","low","high",0.132408000088076
"70-79","male","mid","high","high","low","low","low",0.132399549236991
"65-69","female","low","low","low","low","high","high",0.132328041232002
"70-79","male","high","high","mid","low","mid","low",0.13230320331213
"65-69","female","low","low","mid","high","low","low",0.132258995622298
"70-79","female","high","high","low","low","high","low",0.132257589955049
"80+","male","high","mid","low","low","mid","mid",0.132230953903119
"80+","male","mid","mid","high","mid","low","low",0.132180337242198
"80+","female","high","mid","mid","high","mid","low",0.132030067905263
"80+","male","low","high","high","mid","low","high",0.131998308097648
"65-69","male","mid","low","mid","mid","low","high",0.13196827579245
"65-69","male","mid","mid","high","low","low","low",0.131957302068039
"70-79","male","mid","mid","mid","high","mid","mid",0.131916609862337
"70-79","female","high","low","low","mid","high","high",0.131900947340089
"65-69","female","low","high","low","high","mid","mid",0.131812549017774
"70-79","female","mid","high","low","high","low","mid",0.131513815965322
"70-79","male","low","mid","mid","high","high","high",0.131445525922393
"80+","male","mid","high","high","low","high","high",0.131402572106064
"70-79","male","mid","high","high","high","high","low",0.131392641434958
"80+","female","high","high","mid","mid","low","low",0.131152839197459
"70-79","female","high","high","low","high","high","mid",0.13110392746031
"70-79","male","high","low","mid","mid","low","mid",0.131063148591553
"70-79","female","high","low","mid","high","low","low",0.131053424883881
"65-69","male","high","high","high","high","mid","low",0.131020407469654
"65-69","male","high","low","high","mid","high","high",0.130989804437674
"65-69","male","high","mid","low","low","low","low",0.130947849895639
"70-79","male","mid","high","mid","mid","low","low",0.130774249294885
"70-79","male","mid","high","mid","low","high","high",0.130619890936187
"70-79","male","low","mid","mid","mid","low","mid",0.130569878071342
"80+","female","high","high","low","mid","high","mid",0.130566916349745
"70-79","female","low","mid","mid","high","low","low",0.130560185461221
"80+","female","high","high","high","low","mid","mid",0.130384046905649
"65-69","male","mid","mid","mid","mid","low","low",0.130336615463532
"70-79","male","low","high","high","mid","high","mid",0.130313775236152
"70-79","male","high","mid","mid","high","high","low",0.130310222424482
"80+","male","high","high","mid","mid","high","low",0.130309743630186
"70-79","female","low","mid","high","low","mid","high",0.130263004479802
"70-79","male","mid","high","low","low","mid","high",0.130142281525157
"80+","female","high","mid","low","low","high","mid",0.130057383809222
"65-69","male","mid","high","low","low","low","low",0.129920177851604
"65-69","female","high","low","low","high","mid","high",0.129904849818549
"80+","male","mid","high","mid","mid","high","high",0.129787679956071
"65-69","male","low","high","high","high","mid","high",0.1296957242022
"65-69","female","low","high","high","high","high","low",0.129678386814696
"65-69","male","low","high","mid","low","mid","high",0.129630018005619
"65-69","female","low","high","mid","low","high","low",0.129612688093449
"70-79","male","high","high","high","low","high","high",0.129576290622798
"80+","male","mid","high","mid","high","mid","mid",0.129528676467873
"70-79","female","high","mid","high","high","mid","low",0.129522618606221
"70-79","female","low","mid","high","high","high","mid",0.129354259208029
"70-79","female","mid","mid","low","high","low","high",0.129330847363364
"70-79","female","low","mid","mid","low","high","mid",0.129288700304777
"70-79","female","high","low","high","high","high","mid",0.129021303850223
"80+","male","high","high","low","low","high","mid",0.128992783964497
"70-79","female","high","low","low","low","mid","high",0.128901048998501
"80+","female","high","high","mid","high","high","low",0.128796087257986
"80+","male","high","high","high","low","low","high",0.128677345989001
"70-79","male","mid","low","high","mid","mid","high",0.128650429444306
"80+","male","mid","mid","high","high","low","mid",0.128634161791176
"70-79","male","mid","high","high","low","mid","mid",0.128470168454426
"65-69","female","mid","low","mid","low","low","low",0.128394468296367
"80+","male","high","mid","mid","low","low","mid",0.128390752169933
"70-79","male","low","high","mid","high","low","low",0.128277636850693
"65-69","male","mid","high","low","low","mid","mid",0.128158428173846
"80+","male","high","mid","low","mid","mid","high",0.12791102956381
"70-79","male","low","mid","mid","mid","mid","high",0.127849643265668
"80+","male","low","high","high","mid","mid","high",0.12781842758237
"70-79","female","low","high","low","high","low","high",0.127647807156866
"80+","male","mid","low","high","mid","high","high",0.12700230817543
"80+","female","high","high","mid","mid","mid","low",0.126995814366074
"65-69","male","high","mid","high","low","low","mid",0.126898324496754
"70-79","male","mid","high","mid","mid","mid","mid",0.126886050011182
"70-79","female","mid","high","mid","high","mid","low",0.126876590956606
"65-69","female","low","mid","low","mid","high","mid",0.126808189967844
"70-79","male","high","mid","mid","mid","mid","low",0.126740865624084
"65-69","male","mid","low","high","mid","mid","mid",0.126686005424724
"65-69","male","high","mid","mid","low","high","mid",0.126627600176983
"80+","female","mid","mid","high","low","high","high",0.126620640803143
"70-79","female","mid","high","low","mid","high","mid",0.126562235187827
"70-79","female","mid","low","high","low","low","mid",0.126527866340267
"65-69","female","low","low","high","mid","low","low",0.126335251167575
"65-69","male","high","mid","high","low","mid","high",0.126322535048514
"65-69","male","mid","high","mid","high","mid","low",0.126307819865052
"80+","female","mid","mid","high","mid","mid","low",0.126290548179398
"70-79","female","mid","mid","low","low","high","mid",0.126066064720584
"70-79","female","low","low","high","high","low","high",0.125686756167512
"70-79","female","low","low","mid","low","low","high",0.125622787822595
"70-79","female","mid","low","high","low","high","high",0.125616903516096
"70-79","male","low","mid","high","mid","high","high",0.125552944256665
