"age_group","sex","physical_health","cognitive_function","psychological_condition","social_resources","socioeconomic_resources","health_behavior","probability_limited"
"80+","male","mid","low","mid","mid","mid","low",0.51600559647549
"80+","male","low","high","high","low","high","low",0.515825080275757
"70-79","male","mid","low","low","high","high","high",0.514615989203595
"80+","female","low","high","low","mid","mid","low",0.514480572578296
"65-69","male","low","low","low","low","mid","mid",0.513788165428344
"80+","male","high","low","high","low","low","low",0.513781046479647
"80+","male","low","low","high","high","low","mid",0.513288151367439
"80+","male","low","low","mid","low","low","mid",0.513142692668785
"80+","female","mid","low","mid","high","mid","low",0.512652673430099
"70-79","male","low","low","low","mid","mid","high",0.512610949009762
"80+","male","low","low","low","low","low","high",0.510341267677827
"80+","female","mid","low","low","high","low","high",0.509850458700625
"65-69","male","low","mid","low","mid","high","low",0.509365292828467
"80+","male","low","high","low","high","mid","mid",0.508476806372407
"80+","female","low","high","high","low","mid","low",0.508438726011977
"80+","female","low","low","low","low","high","mid",0.508314294509169
"70-79","male","mid","low","low","mid","mid","mid",0.508181842341777
"70-79","male","low","low","low","high","low","high",0.508116846627385
"80+","female","high","low","low","mid","low","low",0.506796246854987
"80+","male","low","mid","low","low","low","low",0.506762563945488
"80+","female","mid","low","high","low","high","low",0.506603956886757
"70-79","male","low","low","high","low","mid","high",0.506568150581353
"80+","male","low","low","high","mid","high","low",0.50605167894511
"80+","male","high","low","low","mid","mid","low",0.504701577623202
"70-79","male","low","low","mid","mid","mid","low",0.504563985262243
"70-79","male","low","mid","low","high","low","low",0.504537668914581
"80+","male","mid","low","low","mid","high","mid",0.5044866304369
"65-69","male","low","low","low","mid","mid","high",0.504246322645339
"70-79","male","mid","low","low","high","low","mid",0.503686441544388
"70-79","male","low","mid","low","high","high","mid",0.503358240921291
"65-69","male","low","mid","high","low","high","low",0.503321243701861
"80+","female","mid","low","mid","mid","high","low",0.503048486838013
"70-79","male","low","low","high","high","high","low",0.502850923101323
"70-79","male","low","low","mid","low","high","low",0.5027053672095
"65-69","male","high","low","high","low","mid","low",0.50112263236835
"80+","female","low","low","low","mid","low","high",0.500826637708248
"80+","male","high","low","low","high","low","mid",0.500789660321182
"65-69","male","mid","mid","low","high","high","low",0.49917110132698
"80+","male","high","low","high","low","high","low",0.498727048956924
"80+","male","low","low","high","high","high","mid",0.498233796971048
"65-69","male","low","low","high","low","mid","high",0.498201336764975
"80+","male","low","low","mid","low","high","mid",0.498088238554489
"80+","male","mid","high","low","high","low","low",0.498054282162822
"70-79","female","low","low","low","low","high","low",0.496778705501743
"65-69","male","low","low","mid","mid","mid","low",0.49619698594533
"70-79","male","mid","low","low","low","high","low",0.495471487854517
"70-79","female","low","mid","low","high","mid","low",0.495369794386821
"80+","male","low","low","low","low","high","high",0.495285390799106
"65-69","male","low","low","low","high","low","high",0.495007897150069
"80+","female","mid","low","low","high","high","high",0.494794429954767
"80+","female","low","low","high","low","low","high",0.494781732201677
"70-79","female","low","low","low","high","high","mid",0.494256481626926
"70-79","male","mid","mid","low","high","mid","low",0.494062644214301
"65-69","male","mid","low","low","high","mid","high",0.494051417706312
"80+","female","low","mid","low","low","mid","low",0.493676827153021
"65-69","male","low","low","low","low","high","mid",0.493445783099794
"70-79","female","high","low","low","high","high","low",0.492920229917336
"80+","female","high","low","low","mid","high","low",0.491739925464728
"65-69","male","low","mid","low","high","low","low",0.491428804730551
"80+","female","low","mid","low","high","mid","mid",0.491154980903448
"70-79","male","high","low","low","mid","mid","low",0.489607426457676
"80+","male","low","high","low","mid","low","low",0.489030937641536
"70-79","male","low","low","low","low","low","low",0.488970558757723
"80+","male","mid","high","low","high","mid","low",0.488810554260378
"65-69","male","high","low","low","high","mid","mid",0.488129988172956
"80+","male","mid","low","high","low","low","low",0.486963755271228
"80+","female","low","high","low","low","high","low",0.486550175940658
"80+","female","low","low","low","mid","high","high",0.485772988330743
"80+","male","high","low","low","high","high","mid",0.48573604086301
"80+","female","mid","low","low","mid","mid","mid",0.485609308373747
"70-79","male","high","low","low","high","low","low",0.48511426534513
"80+","female","mid","mid","low","mid","high","low",0.485083626131549
"80+","male","low","low","mid","mid","mid","mid",0.484200205709193
"80+","female","low","high","low","high","high","mid",0.484029932592306
"65-69","male","low","low","low","mid","high","high",0.483905732172498
"70-79","female","low","low","high","high","mid","low",0.4835738887288
"70-79","female","low","low","mid","low","mid","low",0.483428486835627
"80+","male","mid","low","mid","mid","low","low",0.483411074716417
"80+","male","low","high","high","low","low","low",0.48299064770973
"70-79","female","mid","low","low","mid","high","low",0.482809150726341
"80+","male","mid","low","low","low","mid","mid",0.482128376923437
"65-69","male","high","low","high","low","high","low",0.480785846256427
"80+","female","mid","low","mid","high","low","low",0.480059873406078
"80+","male","low","high","low","mid","mid","low",0.479794600291523
"80+","female","low","low","high","low","high","high",0.479735158185593
"80+","female","low","low","high","high","mid","mid",0.479364100350976
"80+","female","low","low","mid","low","mid","mid",0.479218789656303
"80+","male","mid","mid","low","high","high","mid",0.479084406668094
"80+","female","low","mid","high","high","high","low",0.478838885361437
"80+","female","low","mid","mid","low","high","low",0.478693587492653
"80+","male","low","mid","low","high","mid","high",0.478138195651212
"80+","male","mid","low","mid","high","mid","low",0.47796861771046
"65-69","male","low","low","high","low","high","high",0.477869542957831
"70-79","female","low","low","low","mid","low","low",0.476317511366405
"70-79","female","mid","low","low","low","mid","low",0.47620637057316
"65-69","male","low","low","low","low","low","low",0.475877682223023
"65-69","male","low","low","mid","mid","high","low",0.475869418872083
"70-79","male","mid","low","high","low","mid","low",0.475618483181111
"70-79","male","mid","low","low","mid","low","low",0.475013311786514
"65-69","male","mid","low","low","low","mid","low",0.474923403745678
"70-79","male","low","mid","low","mid","high","low",0.47468592531842
"80+","male","low","high","high","low","mid","low",0.473762617371132
"65-69","male","mid","low","low","high","high","high",0.473729097533716
"70-79","female","mid","low","low","high","mid","mid",0.473690276178727
"80+","male","mid","low","low","mid","mid","high",0.472602991185558
"70-79","female","low","high","low","high","high","low",0.472515830093693
"80+","male","high","low","low","mid","low","low",0.472124567529629
"70-79","male","mid","low","mid","mid","mid","low",0.472072411492787
"80+","male","mid","low","high","low","high","low",0.471932844920174
"70-79","male","mid","high","low","high","high","low",0.471212673466697
"80+","female","mid","mid","low","mid","low","low",0.471122877357819
"80+","male","low","high","low","high","high","high",0.471027181427131
"70-79","female","low","low","high","low","low","low",0.470289722969714
"70-79","male","mid","low","mid","low","high","low",0.470219885097937
"80+","male","low","mid","low","mid","high","mid",0.470082878545471
"80+","female","high","low","low","low","mid","low",0.469411429938479
"65-69","male","low","high","low","high","high","mid",0.469193914819203
"70-79","male","low","mid","high","low","high","low",0.468660306329505
"80+","male","mid","low","mid","mid","high","low",0.468389707356923
"70-79","male","high","low","high","low","high","low",0.467923369776554
"65-69","male","high","low","low","high","high","mid",0.46782602084527
"80+","female","high","low","low","high","mid","mid",0.466899235203308
"70-79","male","low","low","mid","high","mid","low",0.4665573922847
"80+","female","high","mid","low","high","high","low",0.466375443553326
"80+","male","low","low","high","high","mid","high",0.466373397330169
"80+","male","low","low","mid","low","mid","high",0.466228498153273
"70-79","female","low","low","low","high","mid","high",0.465152913986053
"80+","male","mid","mid","low","high","low","mid",0.465140348433277
"80+","female","mid","low","mid","high","high","low",0.465048895506275
"80+","female","low","mid","high","high","low","low",0.464895595623428
"80+","female","low","mid","mid","low","low","low",0.464750755708736
"80+","male","low","mid","high","low","high","mid",0.46406407239001
"80+","female","low","low","low","low","mid","high",0.463468370205039
"80+","female","low","mid","low","high","high","high",0.460437465799006
"65-69","male","high","low","low","mid","mid","low",0.459522504905987
"80+","male","low","mid","low","low","mid","low",0.459067270268822
"70-79","male","low","low","low","low","high","mid",0.45883666030972
"65-69","male","low","mid","low","high","high","high",0.458580748206914
"65-69","male","low","low","mid","high","mid","low",0.458237713319165
"70-79","female","mid","mid","low","high","high","low",0.457490683411569
"70-79","male","low","mid","low","high","mid","mid",0.457437539444296
"80+","male","high","low","low","mid","high","low",0.457143557772681
"80+","male","mid","low","mid","low","mid","mid",0.456940915124292
"80+","male","low","mid","low","mid","low","mid",0.456171383502796
"70-79","male","high","low","low","high","high","mid",0.455006420229685
"65-69","male","mid","low","low","low","high","low",0.454680811243104
"80+","male","high","low","low","high","mid","high",0.453951797802106
"80+","female","low","high","low","low","low","low",0.453832523819927
"70-79","male","low","low","high","mid","mid","low",0.453485666967973
"80+","female","mid","low","low","mid","low","mid",0.4531371994582
"80+","female","high","mid","low","high","low","low",0.452479981491333
"80+","male","low","high","low","low","high","low",0.451994228618886
"80+","male","low","low","mid","mid","low","mid",0.451739573092685
"80+","female","low","high","low","high","low","mid",0.451332783108616
"70-79","female","mid","low","mid","low","mid","low",0.451058823039189
"80+","male","mid","mid","low","mid","high","low",0.450540440535517
"65-69","male","high","low","low","high","low","low",0.450359108908138
"80+","male","low","mid","high","low","low","mid",0.450179379255261
"65-69","male","mid","low","mid","low","mid","low",0.449785428934802
"80+","male","mid","low","low","low","low","mid",0.449685547576266
"70-79","male","low","low","low","mid","high","high",0.449372142222753
"65-69","male","low","mid","low","high","mid","mid",0.449143559956138
"70-79","female","high","low","high","low","mid","low",0.448776616282035
"80+","female","low","low","high","high","low","mid",0.446946745992436
"80+","female","low","low","mid","low","low","mid",0.446802828860296
"80+","female","low","mid","low","high","low","high",0.446570865793012
"70-79","female","low","high","low","high","mid","low",0.446355496045232
"80+","male","low","low","mid","high","mid","mid",0.446345601045519
"70-79","male","low","low","high","high","mid","mid",0.445747030824019
"70-79","male","low","low","mid","low","mid","mid",0.445603188746009
"80+","male","mid","low","mid","high","low","low",0.445564870739579
"65-69","male","low","low","high","mid","mid","low",0.445204544952255
"70-79","male","mid","high","low","high","mid","low",0.445063612681653
"70-79","male","mid","low","low","mid","high","mid",0.444990567597814
"80+","female","low","high","low","low","mid","low",0.444682428288507
"80+","male","low","mid","high","high","high","low",0.444356636676749
"80+","male","low","mid","mid","low","high","low",0.444212883678351
"70-79","male","low","low","high","low","high","high",0.443396631539503
"70-79","male","low","low","low","low","mid","high",0.442835104000966
"80+","female","low","high","low","high","mid","mid",0.442192282221516
"70-79","male","low","low","mid","mid","high","low",0.441418811452202
"80+","female","high","low","high","high","mid","low",0.440760465407316
"65-69","male","low","high","low","mid","high","low",0.440740645389603
"80+","male","mid","low","low","mid","low","high",0.440256226656708
"65-69","male","low","mid","low","low","high","low",0.439632736542537
"65-69","male","high","low","low","mid","high","low",0.439387038152292
"70-79","male","high","low","low","high","mid","high",0.439030073695501
"70-79","male","low","low","low","mid","low","mid",0.438576220618015
"70-79","male","mid","low","low","low","mid","mid",0.438466512826327
"80+","male","low","high","low","high","low","high",0.438461977706831
"80+","female","mid","low","low","mid","high","mid",0.438258473772772
"65-69","male","low","low","mid","high","high","low",0.438112909082038
"65-69","male","low","low","high","high","mid","mid",0.437494098842336
"65-69","male","low","low","mid","low","mid","mid",0.437350818484767
"80+","female","high","low","low","low","low","low",0.437102064697723
"80+","male","low","low","mid","mid","high","mid",0.436870077640521
"80+","male","mid","mid","low","mid","low","low",0.436730645983731
"65-69","female","low","low","low","mid","mid","low",0.435165910558351
"80+","male","high","low","low","low","mid","low",0.435041365379695
"80+","male","mid","low","low","low","high","mid",0.434830040150481
"70-79","male","low","high","low","high","high","mid",0.434825650854631
"65-69","male","low","high","high","low","high","low",0.434789280975112
"80+","female","high","low","low","high","low","mid",0.434621144725026
