"variable1","state1","variable2","state2","n","limited_n","observed_limited","mean_cv_probability"
"psychological_condition","high","social_resources","high","226","31","0.13716814159292","0.136624117488077"
"psychological_condition","low","social_resources","high","37","17","0.459459459459459","0.435496058469419"
"psychological_condition","high","social_resources","low","15","3","0.2","0.290390546153127"
"psychological_condition","low","social_resources","mid","107","34","0.317757009345794","0.323101949439108"
"psychological_condition","high","social_resources","mid","80","7","0.0875","0.0773752199578976"
"psychological_condition","mid","socioeconomic_resources","high","304","47","0.154605263157895","0.140915355216517"
"psychological_condition","low","socioeconomic_resources","low","202","69","0.341584158415842","0.360033843413829"
"psychological_condition","mid","socioeconomic_resources","low","239","33","0.138075313807531","0.177178082170768"
"psychological_condition","mid","socioeconomic_resources","mid","310","54","0.174193548387097","0.168048745059766"
"psychological_condition","low","socioeconomic_resources","mid","126","34","0.26984126984127","0.325382196239999"
"psychological_condition","low","socioeconomic_resources","high","88","19","0.215909090909091","0.238972615142055"
"psychological_condition","high","socioeconomic_resources","high","137","18","0.131386861313869","0.120712942135309"
"psychological_condition","high","socioeconomic_resources","mid","96","10","0.104166666666667","0.107324255922011"
"psychological_condition","high","socioeconomic_resources","low","88","13","0.147727272727273","0.165705962502087"
"psychological_condition","mid","health_behavior","high","259","24","0.0926640926640927","0.0837592840742094"
"psychological_condition","low","health_behavior","low","157","66","0.420382165605096","0.482499960476044"
"psychological_condition","mid","health_behavior","low","251","61","0.243027888446215","0.272263342416298"
"psychological_condition","mid","health_behavior","mid","343","49","0.142857142857143","0.137746901082947"
"psychological_condition","low","health_behavior","high","90","18","0.2","0.17472217271835"
"psychological_condition","low","health_behavior","mid","169","38","0.224852071005917","0.256077478632803"
"psychological_condition","high","health_behavior","mid","113","16","0.141592920353982","0.111546625502477"
"psychological_condition","high","health_behavior","high","121","6","0.0495867768595041","0.0631207564827058"
"psychological_condition","high","health_behavior","low","87","19","0.218390804597701","0.243454553161457"
"social_resources","low","socioeconomic_resources","high","132","22","0.166666666666667","0.213541129610967"
"social_resources","low","socioeconomic_resources","low","236","65","0.275423728813559","0.307621320238106"
"social_resources","high","socioeconomic_resources","low","137","19","0.138686131386861","0.173740161267375"
"social_resources","mid","socioeconomic_resources","mid","194","36","0.185567010309278","0.184188771967471"
"social_resources","low","socioeconomic_resources","mid","159","32","0.20125786163522","0.255487518931458"
"social_resources","mid","socioeconomic_resources","high","203","30","0.147783251231527","0.13299946071111"
"social_resources","mid","socioeconomic_resources","low","156","31","0.198717948717949","0.213163391274149"
"social_resources","high","socioeconomic_resources","high","194","32","0.164948453608247","0.129995935865238"
